iter	Logloss
0	0.6869983126
1	0.6815185003
2	0.6763405919
3	0.6730641754
4	0.6675488318
5	0.6623566753
6	0.6576188526
7	0.6526653642
8	0.6482857742
9	0.6440013106
10	0.6388065087
11	0.6348091818
12	0.6321690165
13	0.6280126068
14	0.6237417346
15	0.6200952437
16	0.6162884324
17	0.6119044506
18	0.6095892503
19	0.6054374595
20	0.6018354816
21	0.5984485879
22	0.5952139229
23	0.5911866871
24	0.587189969
25	0.5831048467
26	0.5792474799
27	0.5773563666
28	0.5745083936
29	0.5725996943
30	0.5692629875
31	0.5663200077
32	0.5632809435
33	0.560654468
34	0.5580437656
35	0.5542676765
36	0.5508937789
37	0.5479655359
38	0.5450490698
39	0.5428469241
40	0.5403474122
41	0.5381326675
42	0.5358498871
43	0.5328721492
44	0.5303781231
45	0.5277778074
46	0.5265386275
47	0.5241289255
48	0.5217316138
49	0.5198715967
50	0.5187355279
51	0.5161345722
52	0.5141124716
53	0.511551191
54	0.5090086993
55	0.5072425155
56	0.5056732564
57	0.5033032438
58	0.5023513909
59	0.4999549715
60	0.4978792218
61	0.4957970084
62	0.4938712396
63	0.4918382626
64	0.4898053996
65	0.4889894011
66	0.4870331102
67	0.4858299774
68	0.4840100586
69	0.4821675348
70	0.4804707124
71	0.4790719714
72	0.4775953162
73	0.4762196182
74	0.4753487406
75	0.4746891052
76	0.4732716187
77	0.4720934924
78	0.4707038731
79	0.4694282437
80	0.4683866504
81	0.4670498938
82	0.4657694282
83	0.4652123626
84	0.4640633815
85	0.4626208608
86	0.4616433086
87	0.4606757437
88	0.4596278214
89	0.4587328059
90	0.4572803563
91	0.4558378643
92	0.4550394231
93	0.4536033009
94	0.4523989168
95	0.4513747986
96	0.450565263
97	0.4490877247
98	0.4480876476
99	0.4476848983
100	0.4461141807
101	0.445146562
102	0.4450375746
103	0.444668422
104	0.4436802659
105	0.4426843239
106	0.4412539196
107	0.439957757
108	0.4393107798
109	0.4385245766
110	0.4379080388
111	0.4373771659
112	0.4362578207
113	0.4354993801
114	0.4352076013
115	0.4343428912
116	0.4336917317
117	0.4326807583
118	0.4317959317
119	0.4309240556
120	0.4302748662
121	0.4295012339
122	0.4290433604
123	0.4286078007
124	0.4279845377
125	0.4274845607
126	0.4266099844
127	0.4258142166
128	0.4248093332
129	0.424699082
130	0.4242540459
131	0.4237095851
132	0.4230912364
133	0.4226289028
134	0.4225669208
135	0.4218615611
136	0.4214512307
137	0.4205945717
138	0.4201833564
139	0.419452012
140	0.4190606976
141	0.4186915124
142	0.4179345774
143	0.4174068615
144	0.4169781573
145	0.4163465064
146	0.416193078
147	0.4161131647
148	0.415766817
149	0.4156199496
150	0.415155082
151	0.4144552871
152	0.4140414366
153	0.413499338
154	0.4126956503
155	0.4123817876
156	0.4119466694
157	0.4113873614
158	0.4111955189
159	0.4111280979
160	0.4103402701
161	0.4097099916
162	0.4091046702
163	0.408452965
164	0.4079542962
165	0.4078948515
166	0.4073608547
167	0.4070001444
168	0.4065566077
169	0.4063750823
170	0.4062745822
171	0.4058614091
172	0.4055143842
173	0.4053518696
174	0.405107146
175	0.4047801263
176	0.4046848362
177	0.4042927516
178	0.403590659
179	0.4035020963
180	0.4032717407
181	0.4029993197
182	0.4022776029
183	0.4019212441
184	0.4017985627
185	0.4016603598
186	0.4014262736
187	0.401197445
188	0.401090648
189	0.4008008343
190	0.4003830497
191	0.4002131854
192	0.4001703554
193	0.3998640118
194	0.3994341618
195	0.3993538043
196	0.399195626
197	0.399047367
198	0.3989207826
199	0.3985980741
200	0.3985747795
201	0.3981527652
202	0.3980372047
203	0.3978384237
204	0.3975345324
205	0.3971943794
206	0.3969164018
207	0.3964489624
208	0.3963547272
209	0.3962026641
210	0.395998114
211	0.3955198622
212	0.3954651
213	0.3952370797
214	0.3949195077
215	0.3945742481
216	0.3944323782
217	0.3938810191
218	0.3937809086
219	0.3937253963
220	0.393579992
221	0.3933434459
222	0.393034663
223	0.3928962761
224	0.392731169
225	0.3925498461
226	0.392187775
227	0.3919612417
228	0.3914060962
229	0.3912106353
230	0.3909132807
231	0.3905306383
232	0.3904048591
233	0.3903548718
234	0.3900981407
235	0.390037276
236	0.3898699703
237	0.3895637749
238	0.3892377827
239	0.3891319779
240	0.3889779107
241	0.388935998
242	0.3887734629
243	0.3886738373
244	0.3885790863
245	0.3884435104
246	0.3882369934
247	0.3880619295
248	0.3880420174
249	0.3878340846
250	0.3878006238
251	0.3875555636
252	0.3873303405
253	0.3870260887
254	0.3869266591
255	0.3866709991
256	0.3866514879
257	0.3866010537
258	0.3863303633
259	0.3860076469
260	0.3858552826
261	0.3856375756
262	0.3855320011
263	0.3854474894
264	0.3852980764
265	0.3851851963
266	0.3849337207
267	0.3848498579
268	0.3846773384
269	0.3845502859
270	0.3842080728
271	0.3841138865
272	0.383963051
273	0.3838460317
274	0.3837743387
275	0.383718934
276	0.3835281212
277	0.3832155804
278	0.3831630168
279	0.3829702451
280	0.3828033812
281	0.382662493
282	0.3826230733
283	0.3823515224
284	0.3822428812
285	0.3821564302
286	0.3820711329
287	0.3819907904
288	0.3817739566
289	0.3817703219
290	0.3817103985
291	0.38162274
292	0.381614042
293	0.381542601
294	0.3812523366
295	0.3811896802
296	0.381107374
297	0.3809938703
298	0.380899787
299	0.3808058343
